accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.0552,0.9736,0.2437,-0.2441,-0.3052,1.0986,74.443,-2.433,-92.285
0.0566,0.9702,0.2437,-2.3193,-0.9155,0.0,74.399,-2.521,-92.269
0.0522,0.9678,0.2578,-3.7231,-0.2441,-0.4883,74.174,-2.505,-92.329
0.0576,0.9644,0.2593,-3.418,0.6104,0.6714,73.883,-2.549,-92.335
0.0469,0.9771,0.2646,-8.3008,0.7935,-2.2583,73.356,-2.499,-92.23
0.0532,0.9697,0.2729,-12.0239,-1.2207,-5.9204,72.466,-2.219,-92.373
0.0439,0.9658,0.3042,-18.9209,3.1738,-7.019,71.104,-1.56,-92.604
0.0068,0.9336,0.3394,-22.8271,3.54,-4.6387,69.044,-0.956,-92.329
0.019,0.937,0.3809,-26.123,4.3945,-5.9814,66.841,-0.456,-92.208
0.0093,0.8843,0.4321,-30.7007,4.9438,-11.7798,63.957,0.472,-92.153
-0.0166,0.8779,0.4756,-29.9072,5.7373,-13.3667,61.122,1.719,-92.274
-0.0508,0.853,0.5229,-34.0576,5.127,-14.7705,57.991,3.12,-92.455
-0.0933,0.7935,0.5894,-39.6729,2.8687,-21.5454,54.245,4.752,-93.12
-0.1426,0.7271,0.6567,-39.3066,-1.5259,-20.3247,50.224,6.443,-94.411
-0.1289,0.7031,0.6958,-31.0669,-3.1128,-13.6108,46.785,7.416,-95.718
-0.1421,0.6621,0.7231,-32.8369,3.0518,-11.3525,43.369,8.311,-96.548
-0.1704,0.6226,0.7651,-26.9775,1.2207,-6.8359,40.27,9.075,-97.02
-0.1646,0.5918,0.7812,-17.8223,-2.8076,-2.6855,37.952,9.311,-97.526
-0.166,0.5488,0.8145,-18.6157,-1.3428,-3.1738,36.035,9.294,-97.861
-0.1646,0.5273,0.8423,-12.0239,-1.4038,-2.5024,34.557,9.278,-98.097
-0.1655,0.5239,0.8296,-5.6152,-0.1831,-2.0752,33.684,9.349,-98.262
-0.1704,0.5166,0.8335,-7.3242,-1.4038,-3.3569,32.926,9.454,-98.558
-0.1821,0.4941,0.8521,-5.3711,0.4272,-1.8311,32.19,9.575,-98.762
-0.1743,0.4775,0.8589,-0.4272,-1.6479,1.0986,31.729,9.481,-98.784
-0.1675,0.4912,0.8516,2.9907,-1.2817,2.3804,31.75,9.272,-98.712
-0.1694,0.4966,0.8564,4.8218,0.6714,4.6387,32.058,9.124,-98.394
-0.1675,0.5127,0.8286,7.4463,1.2207,6.2866,32.756,9.009,-97.861
-0.1533,0.5352,0.8267,3.479,-0.6714,5.3101,33.322,8.729,-97.262
-0.1494,0.5171,0.8364,5.9814,-3.1128,-2.7466,33.761,8.498,-97.213
-0.1196,0.4731,0.8857,26.1841,-1.3428,0.7935,34.805,8.108,-97.482
-0.1479,0.5757,0.7734,48.0347,-3.2349,15.1367,38.655,7.52,-96.855
-0.0791,0.6694,0.7114,46.6309,-2.8687,15.2588,43.22,6.119,-95.768
-0.0903,0.7261,0.6733,47.2412,-5.5542,15.0757,47.659,5.015,-94.971
-0.0625,0.7886,0.5815,46.4478,-18.7988,26.9775,52.273,3.01,-94.537
0.0264,0.8706,0.5288,29.1138,-7.6294,3.479,56.085,1.066,-94.702
-0.0098,0.8677,0.4937,17.4561,2.8076,0.061,58.09,1.027,-94.801
-0.0098,0.8716,0.4868,14.7705,4.6387,7.4463,59.606,0.917,-94.197
0.0098,0.8623,0.4756,24.4751,4.0894,11.7798,61.562,0.291,-93.268
0.0166,0.9126,0.4092,25.0244,3.418,10.376,64.127,-0.593,-92.318
0.0488,0.9282,0.3804,12.9395,-0.3052,5.7983,65.962,-1.373,-91.769
0.04,0.9282,0.3726,9.2773,1.4648,0.7324,67.017,-1.588,-91.67
0.0386,0.9492,0.3423,7.2021,5.3711,2.5024,67.917,-1.769,-91.187
0.0552,0.9429,0.3394,-1.2207,0.1831,2.1973,68.423,-1.928,-90.731
0.0513,0.9321,0.3633,-0.1221,-2.1973,-5.8594,68.412,-1.89,-90.89
0.022,0.9272,0.3511,-0.4883,-1.0986,-2.1973,68.478,-1.505,-91.241
0.04,0.9307,0.3555,0.3662,-0.6104,-1.4038,68.489,-1.533,-91.335
0.0322,0.9438,0.3423,0.3052,-0.6104,0.061,68.659,-1.527,-91.412
0.0474,0.9399,0.3369,-0.1831,-0.4883,1.2207,68.769,-1.664,-91.423
0.041,0.9312,0.3525,-2.2583,0.061,-0.4272,68.698,-1.725,-91.412
0.0366,0.9238,0.3657,-0.4883,-0.6104,-1.77,68.588,-1.714,-91.494
0.0288,0.9351,0.3569,0.8545,0.061,0.1221,68.681,-1.703,-91.505
0.0312,0.9326,0.3574,-0.7935,-0.6714,-1.2817,68.725,-1.697,-91.505
0.0312,0.9268,0.3545,1.1597,-1.77,0.4883,68.769,-1.664,-91.642
0.0464,0.9404,0.3403,1.2817,-1.2207,-0.6104,68.945,-1.791,-91.818
