accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
-0.0723,-0.0479,1.0435,-0.2441,0.0,0.3052,-2.34,3.549,-31.564
-0.0815,-0.0928,1.0635,6.958,-1.709,3.7231,-2.137,3.516,-31.47
-0.1123,-0.2124,1.1025,44.3726,-5.4321,20.6299,-0.115,3.406,-30.789
0.0098,-0.1548,0.9297,114.7461,2.0142,41.8091,7.718,3.049,-28.526
0.0586,-0.1328,0.6157,156.4941,17.9443,58.4106,20.325,3.878,-25.016
0.2168,0.0498,0.2227,174.8657,14.3433,63.6597,36.013,1.95,-19.38
0.3096,0.02,0.0376,102.1118,14.3433,31.4331,48.51,-2.719,-13.211
0.3794,-0.0708,-0.1226,92.8345,12.146,29.6021,58.222,-8.866,-8.102
0.4155,-0.1025,-0.2041,46.2036,7.2632,16.9067,66.951,-15.222,-6.246
0.4292,-0.0601,-0.3125,27.71,1.4038,4.3945,72.938,-21.242,-5.383
0.4282,-0.1265,-0.2935,7.2021,-2.6245,0.3662,76.805,-25.724,-6.482
0.3789,-0.2144,-0.2212,-4.3335,-1.8921,-5.9204,79.036,-29.647,-7.773
0.375,-0.1978,-0.2085,-5.3711,0.061,-9.3994,80.991,-33.14,-9.316
0.4199,-0.0923,-0.2651,-29.1748,27.9541,-15.4419,81.31,-36.98,-9.723
0.4082,0.105,-0.3774,-83.0078,-45.3491,-28.1372,79.563,-39.238,-10.887
0.3716,0.0933,-0.2407,-138.3667,-29.4189,-55.1758,73.949,-38.441,-16.375
0.3169,0.041,0.0308,-184.1431,-45.7153,-59.8145,64.825,-36.464,-24.445
0.1187,-0.062,0.417,-202.4536,-29.7241,-83.9844,51.345,-34.838,-31.564
-0.0068,-0.3525,1.0059,-147.7661,-9.7046,-60.5469,35.266,-34.843,-34.739
-0.0864,-0.3335,1.2095,-55.2368,-16.6626,-18.1274,25.675,-32.443,-39.935
-0.0752,-0.2231,1.2109,-13.6719,1.5259,0.3662,21.083,-30.564,-41.287
-0.0708,-0.1626,1.1851,-7.9956,4.4556,4.6387,17.891,-28.488,-40.616
-0.0669,-0.127,1.1602,-3.7842,0.2441,0.1221,15.688,-26.477,-39.902
-0.0601,-0.1309,1.1597,0.6104,1.4038,2.1362,14.134,-24.598,-39.446
-0.0713,-0.1108,1.1382,0.4883,-1.6479,2.5635,12.854,-23.0,-38.809
-0.0479,-0.1235,1.1543,2.7466,-1.1597,3.3569,11.607,-21.764,-38.265
-0.0425,-0.1143,1.1519,1.8311,0.5493,1.5869,10.635,-20.402,-37.776
-0.0581,-0.1064,1.1401,2.0142,2.5635,0.1221,9.783,-18.869,-37.375
-0.0669,-0.104,1.1353,2.8076,1.1597,-1.0376,9.058,-17.49,-37.172
-0.0571,-0.0986,1.1313,1.9531,-0.3052,-0.1221,8.41,-16.331,-37.035
-0.0557,-0.0938,1.1304,-1.2817,-0.8545,-0.8545,7.718,-15.211,-36.881
-0.0557,-0.1035,1.1338,0.0,0.2441,-1.5869,6.954,-14.167,-36.865
-0.0601,-0.0981,1.1343,0.3052,0.1831,-1.0986,6.295,-13.151,-36.854
-0.062,-0.1104,1.1333,-0.5493,-1.8311,-0.2441,5.68,-12.244,-36.865
-0.0591,-0.1025,1.1333,1.3428,0.061,0.8545,5.12,-11.398,-36.799
-0.0659,-0.0913,1.127,1.2817,0.1831,0.061,4.697,-10.481,-36.689
-0.0547,-0.0923,1.1284,-1.1597,-0.4272,-0.5493,4.197,-9.717,-36.678
-0.064,-0.1021,1.1284,0.3052,-0.6714,-0.3662,3.636,-8.965,-36.661
-0.0547,-0.0942,1.127,0.3052,0.3662,0.0,3.192,-8.35,-36.634
-0.0547,-0.1064,1.1367,-0.5493,0.0,0.0,2.615,-7.707,-36.595
-0.0562,-0.0986,1.1289,0.7324,0.9766,0.6714,2.109,-7.042,-36.541
-0.0513,-0.1011,1.127,3.1128,0.5493,-0.9766,1.785,-6.493,-36.552
-0.0918,-0.0991,1.1255,1.5869,-3.418,-0.7935,1.566,-5.993,-36.634
