accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.0293,0.9688,0.3086,1.2207,0.7935,-4.8218,70.67,0.313,-22.665
-0.0127,0.9551,0.3008,3.2959,-1.77,-10.1318,70.961,0.956,-22.637
-0.0249,0.9536,0.312,8.1787,-4.2114,-9.8267,71.68,1.785,-23.044
-0.021,0.96,0.2915,2.6245,-0.3052,-5.6152,72.285,2.302,-23.313
-0.0117,0.957,0.3008,-0.7935,1.709,-6.7139,72.328,2.736,-23.088
-0.02,0.9556,0.2988,-2.8687,-0.5493,-16.4795,72.158,3.708,-23.137
-0.0703,0.9438,0.3125,-5.127,-2.0142,-29.1748,71.625,5.707,-23.719
-0.124,0.9263,0.3228,-6.2256,-4.8828,-38.8794,70.9,8.635,-24.994
-0.2129,0.9038,0.3423,-5.7983,-5.188,-35.4614,69.955,11.97,-26.565
-0.252,0.8721,0.3398,-0.8545,-1.709,-47.0581,69.357,15.43,-28.207
-0.3335,0.8506,0.3354,3.418,-0.7935,-54.9316,68.835,19.935,-30.075
-0.4272,0.8164,0.3213,5.7983,6.6528,-58.8379,68.571,25.153,-31.937
-0.54,0.7822,0.2949,7.0801,14.0381,-55.8472,68.61,30.723,-33.354
-0.686,0.7344,0.2935,3.1738,15.0757,-33.5083,68.978,35.376,-33.723
-0.7007,0.7139,0.2676,0.6714,10.6812,-18.3716,69.351,38.117,-33.701
-0.7178,0.7075,0.2568,-2.0752,8.1177,-6.4697,69.604,39.71,-33.47
-0.7422,0.6929,0.2632,-4.0894,3.7842,5.4321,69.719,40.172,-33.201
-0.7427,0.708,0.2661,-4.5776,-6.1035,22.2168,69.582,39.26,-33.091
-0.6523,0.7437,0.2593,-9.5215,-10.6201,45.3491,69.203,36.387,-33.107
-0.5195,0.7617,0.2983,-9.2163,-9.1553,55.7861,69.071,31.613,-32.228
-0.4517,0.8003,0.3252,-5.9814,-8.728,53.7109,68.917,26.565,-31.119
-0.3569,0.853,0.3291,-0.3662,-6.5918,53.9551,69.082,21.566,-30.119
-0.2788,0.8872,0.3276,3.54,-2.1362,53.6499,69.73,16.705,-28.735
-0.1802,0.9062,0.3271,7.6294,1.8311,52.6733,70.62,11.92,-26.949
-0.0791,0.9365,0.3096,11.6577,2.3804,47.2412,71.851,7.355,-25.142
-0.0215,0.9727,0.2788,10.2539,0.4272,38.4521,73.01,3.4,-23.741
0.0488,0.9556,0.2739,11.3525,-0.8545,25.7568,74.114,0.374,-22.753
0.0791,0.96,0.2617,6.1035,-3.6011,11.9629,74.905,-1.384,-22.225
0.0918,0.9634,0.2549,1.77,-4.0283,3.6011,75.146,-2.225,-22.143
0.0801,0.9731,0.2397,-0.1221,-1.6479,-1.8311,75.229,-2.417,-22.05
