accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
-0.0586,-0.1021,1.1255,-5.249,12.8784,10.8032,-0.428,3.944,-78.283
-0.0659,-0.0938,1.1284,-22.0337,38.147,34.4849,-1.758,6.641,-76.849
-0.0498,-0.1133,1.1196,-37.0483,71.5942,69.0918,-4.065,12.025,-72.257
-0.0776,-0.1099,1.1299,-43.9453,88.9893,91.2476,-6.037,20.138,-64.666
-0.0654,-0.0825,1.1274,-52.8564,79.895,89.8438,-6.652,28.29,-53.959
-0.0981,-0.2329,1.2163,-34.8511,53.833,59.8755,-6.432,34.612,-41.534
-0.0825,-0.1924,1.1953,-1.8311,20.813,19.5312,-4.466,36.843,-32.767
-0.0552,-0.1558,1.1909,0.3662,11.3525,10.8032,-2.241,36.612,-26.125
-0.0386,-0.1611,1.1899,1.2817,5.0659,4.2725,-0.5,35.557,-20.38
-0.0483,-0.1582,1.1929,5.6152,8.4229,-2.3804,0.758,34.146,-15.573
-0.0522,-0.1675,1.1846,0.9766,0.3662,-0.3662,1.599,32.536,-11.327
-0.0605,-0.1484,1.1851,0.9766,-1.0986,-2.6245,2.175,30.751,-7.476
-0.0532,-0.1797,1.1909,0.5493,-6.2256,-6.3477,2.252,28.674,-4.312
-0.0513,-0.1797,1.2017,-0.9155,-1.8921,-0.7324,2.236,26.702,-1.263
-0.0591,-0.1709,1.1968,1.8311,-1.6479,-2.9907,2.313,24.961,1.818
-0.0796,-0.1709,1.1826,6.5918,-10.376,-10.6201,2.406,23.044,4.208
-0.0513,-0.1509,1.189,5.6763,-12.3291,-13.1836,2.395,20.638,5.427
-0.1416,-0.1538,1.1606,21.6064,-50.2319,-59.5093,2.28,17.007,4.812
-0.0996,-0.1953,1.1421,63.2935,-111.9385,-147.0337,3.263,8.234,-4.724
-0.1226,-0.0825,1.0898,74.0967,-116.394,-138.7939,9.146,-2.093,-20.737
-0.02,-0.0674,1.1196,18.4937,-71.5332,-50.293,14.315,-8.701,-34.135
-0.063,-0.1504,1.166,-5.0049,-20.6299,6.1035,14.376,-10.728,-39.485
-0.0508,-0.1641,1.1851,-5.4932,-2.2583,9.6436,12.876,-10.596,-41.523
-0.0571,-0.1675,1.1836,-2.3804,3.418,1.6479,11.563,-9.465,-43.418
-0.0762,-0.1519,1.1689,1.1597,3.1738,-0.5493,10.761,-8.13,-45.791
-0.0781,-0.1494,1.1646,-1.6479,1.4038,1.1597,9.959,-6.943,-48.054
-0.0747,-0.1528,1.165,-1.77,0.7935,2.8076,8.998,-5.933,-50.037
-0.0806,-0.1318,1.1592,-6.1035,0.3052,0.4883,8.015,-5.043,-51.943
-0.0801,-0.1699,1.1768,-7.019,0.4272,5.4932,6.542,-4.285,-53.531
-0.0781,-0.1777,1.186,-0.7324,1.0376,1.709,5.46,-3.51,-55.069
-0.0703,-0.1689,1.1826,3.1738,-0.9766,-0.3052,4.96,-2.939,-56.733
-0.0698,-0.1558,1.1768,1.2817,-1.1597,-0.5493,4.57,-2.499,-58.458
-0.0674,-0.1562,1.1772,-0.7935,-0.7935,0.0,3.977,-2.104,-59.996
-0.0581,-0.1567,1.1792,-1.8921,-1.4038,0.061,3.29,-1.807,-61.348
-0.0591,-0.1729,1.1855,-0.6104,0.1831,0.4272,2.538,-1.461,-62.693
-0.0674,-0.1567,1.1777,1.0986,1.0986,0.0,2.098,-1.0,-63.94
-0.0674,-0.1538,1.1748,0.3052,-0.5493,0.061,1.659,-0.643,-65.127
-0.0645,-0.1558,1.1792,-1.0376,0.8545,1.0986,1.121,-0.341,-66.242
-0.0371,-0.1587,1.1875,-6.5918,11.8408,13.916,0.275,0.406,-66.599
