accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
-0.0996,1.0039,0.0674,2.6245,1.4038,-0.7935,85.133,4.554,-39.677
-0.1118,0.9995,0.0825,-0.4272,1.1597,3.3569,85.298,4.543,-39.518
-0.0889,0.9995,0.0854,-5.0049,-4.2725,2.1973,84.996,4.362,-39.705
-0.0601,0.9907,0.0903,-2.1973,1.2817,4.0894,84.617,4.048,-40.029
-0.1318,0.9854,0.1006,-2.2583,1.4038,10.2539,84.507,3.604,-40.062
-0.1172,1.0015,0.0942,-3.1128,7.5684,26.9165,84.155,1.846,-39.672
-0.0376,0.9858,0.1021,-4.2114,-0.2441,32.2876,83.666,-0.906,-38.897
0.0796,0.9604,0.1245,-3.6011,-4.6387,41.3818,83.37,-4.005,-38.996
0.1792,0.9238,0.1304,-2.0752,5.5542,62.9272,83.26,-8.981,-38.177
0.2207,0.9478,0.1128,-15.0146,-6.8359,51.3306,82.117,-14.601,-37.722
0.3291,0.9355,0.1035,13.3667,12.9395,56.3965,81.909,-19.523,-36.678
0.4644,0.8481,0.1011,18.2495,12.8174,70.8008,82.738,-25.027,-34.091
0.5381,0.7651,0.1196,4.5166,-8.3618,31.6162,83.6,-30.092,-32.531
0.5596,0.8154,0.0376,4.4556,-12.6953,34.4238,84.435,-33.14,-33.772
0.7422,0.8306,0.0356,26.5503,5.4321,44.1284,85.715,-37.156,-34.03
0.79,0.7222,0.085,10.6201,10.8643,22.8271,86.688,-40.732,-32.141
0.7759,0.7065,0.0732,1.4038,-2.3804,3.2349,87.056,-42.253,-31.454
0.7529,0.7422,0.0303,-10.498,-10.9253,-12.5122,87.281,-41.984,-32.091
0.7505,0.7798,0.0186,-33.9355,-32.2876,-44.6167,87.177,-40.023,-34.272
0.7471,0.7788,0.0752,-43.6401,-48.8281,-63.0493,86.655,-35.431,-39.49
0.4771,0.895,0.0386,-41.0156,-41.3208,-82.3975,84.298,-28.647,-44.896
0.3535,0.9341,0.0801,-14.8315,-13.4888,-72.7539,83.139,-21.33,-47.703
0.2241,0.9087,0.1362,-20.4468,-5.7983,-57.251,81.991,-15.298,-49.048
0.1904,0.9639,0.1499,-13.1226,5.8594,-49.7437,80.618,-10.563,-49.872
0.1006,0.9575,0.1763,-1.3428,9.5825,-52.1851,80.085,-5.51,-49.62
0.0059,0.9893,0.1597,4.2725,17.5171,-44.3115,80.206,-0.901,-49.395
-0.1265,0.939,0.2031,-1.3428,7.019,-35.0952,80.233,2.917,-48.999
-0.1802,0.9668,0.189,2.2583,3.9062,-23.0713,80.206,5.724,-49.384
-0.1963,0.9448,0.1948,4.3945,-2.4414,-19.7754,80.777,7.751,-49.872
-0.2144,0.9609,0.1729,1.5869,-1.8921,-15.686,80.826,9.531,-50.79
-0.1943,0.979,0.1533,0.7935,-2.2583,-4.8828,80.81,10.355,-51.443
-0.1919,0.9756,0.1543,-1.0986,-1.8921,1.4648,80.673,10.503,-51.724
