accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
-0.0591,-0.0952,1.1074,-0.7935,8.9722,-0.6714,-2.439,24.291,-82.321
-0.0039,-0.0874,1.1138,1.8311,1.2207,-4.9438,-2.543,23.192,-83.029
-0.019,-0.0884,1.1172,2.9297,0.061,-1.5259,-2.532,22.104,-83.287
-0.0142,-0.084,1.1108,4.8218,0.6104,-4.1504,-2.368,20.819,-83.589
-0.0225,-0.0669,1.1001,1.4648,-1.5259,-5.3101,-2.274,19.605,-84.106
-0.0244,-0.0825,1.1064,-3.6621,-5.8594,-2.8076,-2.593,18.303,-84.529
-0.0225,-0.0928,1.1133,-0.9766,-1.2817,1.0376,-2.928,17.249,-84.567
-0.0146,-0.0874,1.1128,1.9531,-1.8311,0.5493,-2.961,16.128,-84.551
-0.0146,-0.0732,1.1104,1.8921,-1.4648,-2.1362,-2.834,15.062,-84.705
-0.0156,-0.0835,1.105,0.1831,-0.6104,-1.0376,-2.895,14.106,-84.935
-0.021,-0.0859,1.1108,0.0,-1.4648,-0.3052,-3.005,13.266,-85.056
-0.0156,-0.0786,1.104,1.9531,-2.3193,-0.5493,-2.95,12.365,-85.166
-0.0161,-0.0732,1.1064,-0.6104,0.5493,-0.061,-2.977,11.613,-85.243
-0.0161,-0.0835,1.1074,-0.1221,-1.2207,-0.1221,-3.098,10.953,-85.259
-0.0576,-0.0698,1.0952,2.5024,-7.8735,-5.188,-3.06,10.129,-85.413
-0.2285,-0.1108,0.9976,32.0435,-85.6323,-78.9795,-2.313,5.312,-88.94
-0.1069,-0.0449,0.9238,74.585,-240.4785,-242.9199,4.252,-11.195,-104.711
0.1636,0.0166,1.0928,65.2466,-160.4614,-161.5601,20.995,-26.494,-130.353
-0.0825,0.0562,1.0078,2.6245,14.9536,43.5181,23.994,-28.141,-133.423
-0.0771,-0.0581,1.042,-6.958,-8.0566,-30.0293,21.791,-26.73,-131.512
-0.1055,-0.0488,1.0488,-0.1221,10.9863,-1.9531,20.308,-24.373,-131.451
-0.1104,-0.0654,1.0464,0.0,-1.5259,3.6011,18.726,-22.972,-130.82
-0.0874,-0.0625,1.0522,-2.5635,1.709,1.77,17.128,-21.319,-130.095
-0.0752,-0.0659,1.0635,-4.5166,3.2349,-1.3428,15.436,-19.633,-129.298
-0.0737,-0.0728,1.063,-2.6855,10.8032,2.3193,14.128,-17.672,-128.897
0.0508,-0.0166,1.1001,-26.4282,54.8096,35.7666,11.393,-14.431,-126.48
-0.001,-0.0195,1.0342,-44.7998,146.5454,137.8784,5.169,-4.559,-116.175
-0.0688,0.0376,0.9526,-67.688,149.9023,150.7568,0.082,10.404,-100.464
-0.1157,-0.0659,1.0391,-51.1475,102.417,96.0083,-2.368,23.555,-87.545
-0.0679,-0.1162,1.1245,-4.4556,18.5547,8.4229,-3.049,27.801,-82.859
